"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,,,,
"ND Medicaid Professional Services Fee Schedule",,,,,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Telehealth Allowed","Modifier Required","Professional Rate","Technical Rate","General Rate","ASC Rate","NDC Required","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","Service Authorization Required","LCD/NCD","EVV","General Notes"
"0120U","Onc b cll lymphm mrna 58 gen","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0121U","Sc dis vcam-1 whole blood","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0122U","Sc dis p-selectin whl blood","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0123U","Mchnl fragility rbc prflg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0129U","Hered brst ca rltd do panel","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0130U","Hered colon ca do mrna pnl","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0131U","Hered brst ca rltd do pnl 13","Professional","No",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"0132U","Hered ova ca rltd do pnl 17","Professional","No",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"0133U","Hered prst8 ca rltd do 11","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0134U","Hered pan ca mrna pnl 18 gen","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0135U","Hered gyn ca mrna pnl 12 gen","Professional","No",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"0136U","Atm mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0137U","Palb2 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0138U","Brca1 brca2 mrna seq alys","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0140U","Nfct ds fungi dna 15 trgt","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0141U","Nfct ds bact&fng gram pos","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0142U","Nfct ds bact&fng gram neg","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
"0152U","Nfct ds dna untrgt ngnrj seq","Professional","No",,"No",,,,"$0.00","Not Allowed","No","No","No","No","Yes","No",,,
