"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D5421","Dentures adjust part maxill","Dental","Yes",,"$59.89","$56.42","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
"D5422","Dentures adjust part mandbl","Dental","Yes",,"$59.89","$56.42","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 2 each calendar year"
"D5511","Rep broke comp dent base man","Dental","Yes",,"$126.46","$137.77","Yes","No","Yes","No","No","No","No","Yes, situational","Service authorization is required when more than 4 teeth per year are replaced, when replacing all teeth in the denture or partial denture, or when converting the denture from a partial denture to a full complete denture"
"D5512","Rep broke comp dent base max","Dental","Yes",,"$126.46","$137.77","Yes","No","Yes","No","No","No","No","Yes, situational","Service authorization is required when more than 4 teeth per year are replaced, when replacing all teeth in the denture or partial denture, or when converting the denture from a partial denture to a full complete denture"
"D5520","Replace denture teeth complt","Dental","Yes",,"$98.37","$113.87","Yes","No","Yes","No","Yes","No","No","Yes, situational","Service authorization is required when more than 4 teeth are being replaced"
"D5611","Rep resin part dent base man","Dental","Yes",,"$138.84","$134.90","Yes","No","Yes","No","No","No","No","No",
"D5612","Rep resin part dent base max","Dental","Yes",,"$138.84","$134.90","Yes","No","Yes","No","No","No","No","No",
"D5621","Rep cast part frame man","Dental","Yes",,"$207.23","$191.05","Yes","No","Yes","No","No","No","No","No",
"D5622","Rep cast part frame max","Dental","Yes",,"$207.23","$191.05","Yes","No","Yes","No","No","No","No","No",
"D5630","Rep partial denture clasp","Dental","Yes",,"$137.91","$168.20","Yes","No","Yes","No","Yes","No","No","Yes, situational","Service authorization is required when more than 4 teeth are being replaced"
"D5640","Replace part denture teeth","Dental","Yes",,"$105.37","$116.14","Yes","No","Yes","No","Yes","No","No","Yes, situational","Service authorization is required when more than 4 teeth are being replaced"
"D5650","Add tooth to partial denture","Dental","Yes",,"$173.92","$151.73","Yes","No","Yes","No","Yes","No","No","Yes, situational","Service authorization is required when more than 4 teeth are being replaced"
