"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4409","Ost skn barr convex &lt;=4 sq i","DME-Purchase","Yes",,,,"$10.73","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4410","Ost skn barr extnd >4 sq","DME-Purchase","Yes",,,,"$11.87","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4411","Ost skn barr extnd =4sq","DME-Purchase","Yes",,,,"$6.70","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4412","Ost pouch drain high output","DME-Purchase","Yes",,,,"$3.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4413","2 pc drainable ost pouch","DME-Purchase","Yes",,,,"$9.48","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4414","Ost sknbar w/o conv&lt;=4 sq in","DME-Purchase","Yes",,,,"$7.45","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4415","Ost skn barr w/o conv >4 sqi","DME-Purchase","Yes",,,,"$8.68","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4416","Ost pch clsd w barrier/filtr","DME-Purchase","Yes",,,,"$4.75","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4417","Ost pch w bar/bltinconv/fltr","DME-Purchase","Yes",,,,"$6.41","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4418","Ost pch clsd w/o bar w filtr","DME-Purchase","Yes",,,,"$3.13","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4419","Ost pch for bar w flange/flt","DME-Purchase","Yes",,,,"$3.02","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
